articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
4-11-2014_PS,53.3,53.4,mean,0.18761726078799515,MINOR_ERROR,NA
4-11-2014_PS,50.2,49.9,ci,0.5976095617529965,MINOR_ERROR,NA
4-11-2014_PS,56.4,56.9,ci,0.8865248226950355,MINOR_ERROR,NA
4-11-2014_PS,16,16,df,0,MATCH,NA
4-11-2014_PS,2.06,2.03,t,1.4563106796116625,MINOR_ERROR,NA
4-11-2014_PS,0.06,0.06,p,0,MATCH,NA
4-11-2014_PS,92.3,92.5,mean,0.2166847237269803,MINOR_ERROR,NA
4-11-2014_PS,89.8,90,ci,0.22271714922049313,MINOR_ERROR,NA
4-11-2014_PS,94.8,95.1,ci,0.31645569620252867,MINOR_ERROR,NA
